Movies,Score,Start Date,End Date,Genre,Rating,# of Ratings (Thou),Release Date,Run Time (min),Budget (mil),Box Office,Comments,Rewatched,Rewatch Score
Soul,9,January 7 2022,January 7 2022,"Animation, Adventure, Comedy",PG,309,December 25 2020,100,150,121,Music wooo. Watched with my mom,,
Princess Mononoke,8,January 28 2022,January 29 2022,"Animation, Action, Adventure",PG-13,382,July 12 1997,133,23.5,169.7,Everything is animated + good music. Watched with Nick,,
I Am Legend,6,January 29 2022,January 29 2022,"Action, Drama, Sci-Fi",PG-13,739,December 14 2007,101,150,585.4,Cool dog bro,,
Stardust,6,January 29 2022,January 29 2022,"Adventure, Family, Fantasy",PG-13,269,August 10 2010,128,79.25,137,"Watched with Annabelle, Jared, and Sage",,
Mean Girls,8,January 30 2022,January 30 2022,Comedy,PG-13,370,April 30 2004,97,17,130.1,"Watched with Nick, Jason, and Satwik in student union",,
Old Yeller,6,February 1 2022,February 1 2022,"Adventure, Drama, Family",Approved,13,December 25 1957,83,,6.25,,,
Superbad,8,February 3 2022,February 3 2022,Comedy,R,563,August 17 2007,113,18,170.8,Watched with Nick and Jason,,
Deadpool 2,7,February 4 2022,February 5 2022,"Action, Adventure, Comedy",R,553,May 18 2018,119,110,785,Watched with Nick,,
The Dark Knight,10,February 5 2022,February 5 2022,"Action, Crime, Drama",PG-13,2600,July 18 2008,152,185,1005,Watched with Nick,,
Gnomeo and Juliet,6,February 6 2022,February 7 2022,"Animation, Adventure, Comedy",G,560,February 11 2011,84,36,193.7,"Watched with Annabelle, Sage and Jared",3,6
Parasite,9,February 7 2022,February 8 2022,"Comedy, Drama, Thriller",R,742,May 30 2019,132,15.5,259,Criterion Collection. Watched with Nick and maybe others?,,
Slumdog Millionare,8,February 8 2022,February 9 2022,"Drama, Romance",R,833,December 25 2022,120,15,378.1,"Watched with Nick, Kyle and Satwik",,
127 Hours,5,February 13 2022,February 13 2022,"Biography, Drama",R,371,November 5 2010,94,18,60.7,"Watched with Nick, Kyle and Satwik",,
Kingsman: The Secret Service,7,February 16 2022,February 17 2022,"Action, Adventure, Comedy",R,652,February 13 2015,129,87.5,414.4,"Watched with Nick, Kyle and Satwik(?)",,
The Dark Knight,10,February 19 2022,February 19 2022,"Action, Crime, Drama",PG-13,2600,July 18 2008,152,185,1005,One of the best movies of all time. Watched with Nick and Jason,2,10
1917,8,February 21 2022,February 21 2021,"Action, Drama, War",R,549,December 25 2019,119,95,384.9,"Watched with Nick, maybe others?",,
The Lighthouse,6,February 23 2022,February 24 2022,"Drama, Fantasy, Horror",R,201,October 18 2019,109,11,18.3,"Letdown. Watched with Nick, Kyle and Seb",,
Gone Baby Gone,10,February 25 2022,February 25 2022,"Crime, Drama, Mystery, Thriller",R,285,October 19 2007,114,19,20.3,"Watched with Nick, Satwik and Kyle. AMAZING!",,
King Richard,8,February 27 2022,February 27 2022,"Biography, Drama, Sport",PG-13,91,November 19 2021,145,50,35,Watched with Nick at student union. Poster :),,
The Dark Knight Rises,8,March 1 2022,March 1 2022,"Action, Crime, Drama",PG-13,1700,July 20 2012,165,275,1081,Still really good. Watched with Nick and Jason,,
The Gambler,3,March 4 2022,March 5 2022,"Crime, Drama, Thriller",R,70,December 25 2014,111,28,39.3,,,
Tron,4,March 5 2022,March 5 2022,"Action, Adventure, Sci-Fi",PG,120,July 9 1982,96,17,50,,,
Tron: Legacy,6,March 5 2022,March 6 2022,"Action, Adventure, Sci-Fi",PG,331,December 17 2010,125,170,400.1,,,
